"date","ISO2","population","sample_size","reach","sample_size_recent","reach_recent","p_infected","p_infected_low","p_infected_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_hospital","p_hospital_low","p_hospital_high","p_recent","p_recent_low","p_recent_high","p_daily","p_daily_low","p_daily_high","p_active","p_active_low","p_active_high"
"2023/01/18","GB",66647112,100,2732,100,2732,0.593338213762811,0.574918809259894,0.611757618265728,0.00388802488335925,0.00148293557695053,0.00629311418976797,0.0108653473030656,0.00686276384114703,0.0148679307649841,0.0143540669856459,0.00988155798485947,0.0188265759864324,0.00205058099794942,0.000349613555867671,0.00375154844003117,0.0197657393850659,0.0145462356253202,0.0249852431448116
"2023/01/19","GB",66647112,100,3344,100,3344,0.588516746411483,0.571837729391024,0.605195763431943,0.00954198473282443,0.00614382165795451,0.0129401478076943,0.0130407124681934,0.0090751289478066,0.0170062959885802,0.0159206969059778,0.0116687554163209,0.0201726383956347,0.00227438527228254,0.00065619803449755,0.00389257251006753,0.0236794171220401,0.0184870185698253,0.0288718156742549
"2023/01/20","GB",66647112,100,3344,100,3344,0.588516746411483,0.571837729391024,0.605195763431943,0.00954198473282443,0.00614382165795451,0.0129401478076943,0.0130407124681934,0.0090751289478066,0.0170062959885802,0.0159206969059778,0.0116687554163209,0.0201726383956347,0.00227438527228254,0.00065619803449755,0.00389257251006753,0.0236794171220401,0.0184870185698253,0.0288718156742549
"2023/01/21","GB",66647112,100,3344,100,3344,0.588516746411483,0.571837729391024,0.605195763431943,0.00954198473282443,0.00614382165795451,0.0129401478076943,0.0130407124681934,0.0090751289478066,0.0170062959885802,0.0159206969059778,0.0116687554163209,0.0201726383956347,0.00227438527228254,0.00065619803449755,0.00389257251006753,0.0236794171220401,0.0184870185698253,0.0288718156742549
"2023/01/22","GB",66647112,100,3344,100,3344,0.588516746411483,0.571837729391024,0.605195763431943,0.00954198473282443,0.00614382165795451,0.0129401478076943,0.0130407124681934,0.0090751289478066,0.0170062959885802,0.0159206969059778,0.0116687554163209,0.0201726383956347,0.00227438527228254,0.00065619803449755,0.00389257251006753,0.0236794171220401,0.0184870185698253,0.0288718156742549
"2023/01/23","GB",66647112,100,2778,100,2778,0.532397408207343,0.513843372355243,0.550951444059444,0.00395882818685669,0.00151002777248654,0.00640762860122684,0.0161353797717434,0.0112364295553015,0.0210343299881854,0.0133189344852412,0.0090560348413036,0.0175818341291788,0.00190270492646303,0.000282185912996894,0.00352322393992916,0.0127197904975683,0.00847155281857844,0.0169680281765581
"2023/01/24","GB",66647112,100,2778,100,2778,0.532397408207343,0.513843372355243,0.550951444059444,0.00395882818685669,0.00151002777248654,0.00640762860122684,0.0161353797717434,0.0112364295553015,0.0210343299881854,0.0133189344852412,0.0090560348413036,0.0175818341291788,0.00190270492646303,0.000282185912996894,0.00352322393992916,0.0127197904975683,0.00847155281857844,0.0169680281765581
"2023/01/25","GB",66647112,100,2778,100,2778,0.532397408207343,0.513843372355243,0.550951444059444,0.00395882818685669,0.00151002777248654,0.00640762860122684,0.0161353797717434,0.0112364295553015,0.0210343299881854,0.0133189344852412,0.0090560348413036,0.0175818341291788,0.00190270492646303,0.000282185912996894,0.00352322393992916,0.0127197904975683,0.00847155281857844,0.0169680281765581
"2023/01/26","GB",66647112,100,3284,100,3284,0.543544457978075,0.526508628080668,0.560580287875483,0.00297914597815293,0.00103570774828902,0.00492258420801684,0.0132187706543291,0.00914947164351626,0.017288069665142,0.00488698839340257,0.00249826639165065,0.00727571039515448,0.000698141199057509,0,0.00160289149718531,0.0200974421437272,0.0152978055483469,0.0248970787391074
"2023/01/27","GB",66647112,100,3284,100,3284,0.543544457978075,0.526508628080668,0.560580287875483,0.00297914597815293,0.00103570774828902,0.00492258420801684,0.0132187706543291,0.00914947164351626,0.017288069665142,0.00488698839340257,0.00249826639165065,0.00727571039515448,0.000698141199057509,0,0.00160289149718531,0.0200974421437272,0.0152978055483469,0.0248970787391074
"2023/01/28","GB",66647112,100,3284,100,3284,0.543544457978075,0.526508628080668,0.560580287875483,0.00297914597815293,0.00103570774828902,0.00492258420801684,0.0132187706543291,0.00914947164351626,0.017288069665142,0.00488698839340257,0.00249826639165065,0.00727571039515448,0.000698141199057509,0,0.00160289149718531,0.0200974421437272,0.0152978055483469,0.0248970787391074
"2023/01/29","GB",66647112,100,3284,100,3284,0.543544457978075,0.526508628080668,0.560580287875483,0.00297914597815293,0.00103570774828902,0.00492258420801684,0.0132187706543291,0.00914947164351626,0.017288069665142,0.00488698839340257,0.00249826639165065,0.00727571039515448,0.000698141199057509,0,0.00160289149718531,0.0200974421437272,0.0152978055483469,0.0248970787391074
"2023/01/30","GB",66647112,100,2890,100,2890,0.599653979238754,0.581790449072244,0.617517509405265,0.00677361853832442,0.00373821700515818,0.00980902007149066,0.0204667863554758,0.0152081891948512,0.0257253835161003,0.0107266435986159,0.00697095780409806,0.0144823293931338,0.00153237765694513,0.000106280650048195,0.00295847466384207,0.0134948096885813,0.00928819979370558,0.0177014195834571
