p_active,p_active_low,p_active_high,days
1.93220338983051,1.43546615923028,2.42894062043073,1025
1.92697768762677,1.431570699056,2.42238467619755,1026
1.92697768762677,1.431570699056,2.42238467619755,1027
1.92697768762677,1.431570699056,2.42238467619755,1028
1.37424097155641,0.966323849475998,1.78215809363682,1029
1.37424097155641,0.966323849475998,1.78215809363682,1030
1.37424097155641,0.966323849475998,1.78215809363682,1031
0.890389929382868,0.567772954081747,1.21300690468399,1032
0.890389929382868,0.567772954081747,1.21300690468399,1033
0.890389929382868,0.567772954081747,1.21300690468399,1034
0.890389929382868,0.567772954081747,1.21300690468399,1035
1.23171670515781,0.80759286393079,1.65584054638484,1036
1.23171670515781,0.80759286393079,1.65584054638484,1037
1.23171670515781,0.80759286393079,1.65584054638484,1038
1.66987797045601,1.21981379639651,2.1199421445155,1039
1.67579761521109,1.22415157878838,2.12744365163379,1040
1.67579761521109,1.22415157878838,2.12744365163379,1041
1.67579761521109,1.22415157878838,2.12744365163379,1042
2.36460717009916,1.78301990620656,2.94619443399176,1043
2.36460717009916,1.78301990620656,2.94619443399176,1044
2.36460717009916,1.78301990620656,2.94619443399176,1045
0.943078477601886,0.595414797832601,1.29074215737117,1046
0.943078477601886,0.595414797832601,1.29074215737117,1047
0.943078477601886,0.595414797832601,1.29074215737117,1048
0.943078477601886,0.595414797832601,1.29074215737117,1049
0.91533180778032,0.550809379892238,1.2798542356684,1050
0.91533180778032,0.550809379892238,1.2798542356684,1051
0.91533180778032,0.550809379892238,1.2798542356684,1052
1.03817816476892,0.674620776002864,1.40173555353498,1053
1.03817816476892,0.674620776002864,1.40173555353498,1054
1.03817816476892,0.674620776002864,1.40173555353498,1055
1.03817816476892,0.674620776002864,1.40173555353498,1056
1.21189864120455,0.800929002160046,1.62286828024906,1057
1.21189864120455,0.800929002160046,1.62286828024906,1058
1.21189864120455,0.800929002160046,1.62286828024906,1059
2.94012190749373,2.31318133852465,3.5670624764628,1060
2.94012190749373,2.31318133852465,3.5670624764628,1061
2.94012190749373,2.31318133852465,3.5670624764628,1062
2.94012190749373,2.31318133852465,3.5670624764628,1063
1.34857812958077,0.961501490019621,1.73565476914191,1064
1.34857812958077,0.961501490019621,1.73565476914191,1065
1.34857812958077,0.961501490019621,1.73565476914191,1066
1.95220464490071,1.45472152142161,2.4496877683798,1067
1.95220464490071,1.45472152142161,2.4496877683798,1068
1.97657393850659,1.45462356253202,2.49852431448116,1108
2.36794171220401,1.84870185698253,2.88718156742549,1109
2.36794171220401,1.84870185698253,2.88718156742549,1110
2.36794171220401,1.84870185698253,2.88718156742549,1111
2.36794171220401,1.84870185698253,2.88718156742549,1112
1.27197904975683,0.847155281857844,1.69680281765581,1113
1.27197904975683,0.847155281857844,1.69680281765581,1114
1.27197904975683,0.847155281857844,1.69680281765581,1115
2.00974421437272,1.52978055483469,2.48970787391074,1116
2.00974421437272,1.52978055483469,2.48970787391074,1117
2.00974421437272,1.52978055483469,2.48970787391074,1118
2.00974421437272,1.52978055483469,2.48970787391074,1119
1.34948096885813,0.928819979370558,1.77014195834571,1120
1.34948096885813,0.928819979370558,1.77014195834571,1121
1.34948096885813,0.928819979370558,1.77014195834571,1122
2.08547008547009,1.56761206163171,2.60332810930846,1123
2.08547008547009,1.56761206163171,2.60332810930846,1124
2.08547008547009,1.56761206163171,2.60332810930846,1125
2.08547008547009,1.56761206163171,2.60332810930846,1126
1.65165165165165,1.2187704388657,2.0845328644376,1127
1.65165165165165,1.2187704388657,2.0845328644376,1128
1.65165165165165,1.2187704388657,2.0845328644376,1129
1.65165165165165,1.2187704388657,2.0845328644376,1130
1.65165165165165,1.2187704388657,2.0845328644376,1131
1.65165165165165,1.2187704388657,2.0845328644376,1132
1.65165165165165,1.2187704388657,2.0845328644376,1133
1.23953098827471,0.842617196848872,1.63644477970054,1134
1.23953098827471,0.842617196848872,1.63644477970054,1135
1.23953098827471,0.842617196848872,1.63644477970054,1136
1.23953098827471,0.842617196848872,1.63644477970054,1137
1.23953098827471,0.842617196848872,1.63644477970054,1138
1.23953098827471,0.842617196848872,1.63644477970054,1139
1.23953098827471,0.842617196848872,1.63644477970054,1140
0.973828362751065,0.63806715697519,1.30958956852694,1141
0.973828362751065,0.63806715697519,1.30958956852694,1142
0.973828362751065,0.63806715697519,1.30958956852694,1143
0.973828362751065,0.63806715697519,1.30958956852694,1144
0.973828362751065,0.63806715697519,1.30958956852694,1145
0.973828362751065,0.63806715697519,1.30958956852694,1146
0.973828362751065,0.63806715697519,1.30958956852694,1147
1.0200492437566,0.650694359000989,1.3894041285122,1148
1.0200492437566,0.650694359000989,1.3894041285122,1149
1.0200492437566,0.650694359000989,1.3894041285122,1150
1.0200492437566,0.650694359000989,1.3894041285122,1151
1.0200492437566,0.650694359000989,1.3894041285122,1152
1.0200492437566,0.650694359000989,1.3894041285122,1153
1.0200492437566,0.650694359000989,1.3894041285122,1154
1.44112478031634,1.00319385184017,1.87905570879252,1155
1.44112478031634,1.00319385184017,1.87905570879252,1156
1.44112478031634,1.00319385184017,1.87905570879252,1157
1.44112478031634,1.00319385184017,1.87905570879252,1158
1.44112478031634,1.00319385184017,1.87905570879252,1159
1.44112478031634,1.00319385184017,1.87905570879252,1160
1.44112478031634,1.00319385184017,1.87905570879252,1161
1.61290322580645,1.16495539870393,2.06085105290898,1162
