p_cases,p_cases_low,p_cases_high,days
55.1575777132408,54.1466413917539,56.1685140347277,1031
53.3197468625979,52.3070466769283,54.3324470482675,1032
53.3197468625979,52.3070466769283,54.3324470482675,1033
53.3197468625979,52.3070466769283,54.3324470482675,1034
53.3197468625979,52.3070466769283,54.3324470482675,1035
53.5962110364578,52.570387052504,54.6220350204116,1036
53.5962110364578,52.570387052504,54.6220350204116,1037
53.5962110364578,52.570387052504,54.6220350204116,1038
51.8844625791904,50.8696995847179,52.8992255736629,1039
51.7981749865808,50.7834563623775,52.8128936107841,1040
51.7981749865808,50.7834563623775,52.8128936107841,1041
51.7981749865808,50.7834563623775,52.8128936107841,1042
51.887323943662,50.8478243995328,52.9268234877911,1043
51.887323943662,50.8478243995328,52.9268234877911,1044
51.887323943662,50.8478243995328,52.9268234877911,1045
53.8829969209716,52.8396482533341,54.9263455886091,1046
53.8829969209716,52.8396482533341,54.9263455886091,1047
53.8829969209716,52.8396482533341,54.9263455886091,1048
53.8829969209716,52.8396482533341,54.9263455886091,1049
53.6767276541196,52.621680740473,54.7317745677663,1050
53.6767276541196,52.621680740473,54.7317745677663,1051
53.6767276541196,52.621680740473,54.7317745677663,1052
51.0187449062755,49.9615461841096,52.0759436284414,1053
51.0187449062755,49.9615461841096,52.0759436284414,1054
51.0187449062755,49.9615461841096,52.0759436284414,1055
51.0187449062755,49.9615461841096,52.0759436284414,1056
51.4004969505308,50.359431808247,52.4415620928146,1057
51.4004969505308,50.359431808247,52.4415620928146,1058
51.4004969505308,50.359431808247,52.4415620928146,1059
51.3441483198146,50.2896261616728,52.3986704779564,1060
51.3441483198146,50.2896261616728,52.3986704779564,1061
51.3441483198146,50.2896261616728,52.3986704779564,1062
51.3441483198146,50.2896261616728,52.3986704779564,1063
50.9029590948651,49.8809794241855,51.9249387655447,1064
50.9029590948651,49.8809794241855,51.9249387655447,1065
50.9029590948651,49.8809794241855,51.9249387655447,1066
53.6524216524217,52.6090651750006,54.6957781298428,1067
53.6524216524217,52.6090651750006,54.6957781298428,1068
58.3585264807972,57.3361443514314,59.380908610163,1108
57.6400397746105,56.6220586712923,58.6580208779287,1109
57.6400397746105,56.6220586712923,58.6580208779287,1110
57.6400397746105,56.6220586712923,58.6580208779287,1111
57.6400397746105,56.6220586712923,58.6580208779287,1112
56.95603156708,55.9256162774981,57.9864468566619,1113
56.95603156708,55.9256162774981,57.9864468566619,1114
56.95603156708,55.9256162774981,57.9864468566619,1115
57.2830188679245,56.2763089269998,58.2897288088492,1116
57.2830188679245,56.2763089269998,58.2897288088492,1117
57.2830188679245,56.2763089269998,58.2897288088492,1118
57.2830188679245,56.2763089269998,58.2897288088492,1119
56.9553805774278,55.9405190300702,57.9702421247854,1120
56.9553805774278,55.9405190300702,57.9702421247854,1121
56.9553805774278,55.9405190300702,57.9702421247854,1122
55.9175531914894,54.893186440736,56.9419199422428,1123
55.9175531914894,54.893186440736,56.9419199422428,1124
55.9175531914894,54.893186440736,56.9419199422428,1125
55.9175531914894,54.893186440736,56.9419199422428,1126
56.5095458958041,55.5004262055403,57.5186655860679,1127
56.5095458958041,55.5004262055403,57.5186655860679,1128
56.5095458958041,55.5004262055403,57.5186655860679,1129
56.5095458958041,55.5004262055403,57.5186655860679,1130
56.5095458958041,55.5004262055403,57.5186655860679,1131
56.5095458958041,55.5004262055403,57.5186655860679,1132
56.5095458958041,55.5004262055403,57.5186655860679,1133
58.6860181697319,57.6701993013528,59.701837038111,1134
58.6860181697319,57.6701993013528,59.701837038111,1135
58.6860181697319,57.6701993013528,59.701837038111,1136
58.6860181697319,57.6701993013528,59.701837038111,1137
58.6860181697319,57.6701993013528,59.701837038111,1138
58.6860181697319,57.6701993013528,59.701837038111,1139
58.6860181697319,57.6701993013528,59.701837038111,1140
57.1771640650584,56.1638929386602,58.1904351914566,1141
57.1771640650584,56.1638929386602,58.1904351914566,1142
57.1771640650584,56.1638929386602,58.1904351914566,1143
57.1771640650584,56.1638929386602,58.1904351914566,1144
57.1771640650584,56.1638929386602,58.1904351914566,1145
57.1771640650584,56.1638929386602,58.1904351914566,1146
57.1771640650584,56.1638929386602,58.1904351914566,1147
56.9373401534527,55.9354892257516,57.9391910811538,1148
56.9373401534527,55.9354892257516,57.9391910811538,1149
56.9373401534527,55.9354892257516,57.9391910811538,1150
56.9373401534527,55.9354892257516,57.9391910811538,1151
56.9373401534527,55.9354892257516,57.9391910811538,1152
56.9373401534527,55.9354892257516,57.9391910811538,1153
56.9373401534527,55.9354892257516,57.9391910811538,1154
56.9906790945406,55.968514795952,58.0128433931292,1155
56.9906790945406,55.968514795952,58.0128433931292,1156
56.9906790945406,55.968514795952,58.0128433931292,1157
56.9906790945406,55.968514795952,58.0128433931292,1158
56.9906790945406,55.968514795952,58.0128433931292,1159
56.9906790945406,55.968514795952,58.0128433931292,1160
56.9906790945406,55.968514795952,58.0128433931292,1161
53.6859323882225,52.6653451442759,54.7065196321691,1162
