p_cases,p_cases_low,p_cases_high,days
55.310621242485,53.6618696609846,56.9593728239855,1031
55.3968689920352,53.782276107686,57.0114618763844,1032
55.3968689920352,53.782276107686,57.0114618763844,1033
55.3968689920352,53.782276107686,57.0114618763844,1034
55.3968689920352,53.782276107686,57.0114618763844,1035
56.9682862961885,55.3130148495876,58.6235577427894,1036
56.9682862961885,55.3130148495876,58.6235577427894,1037
56.9682862961885,55.3130148495876,58.6235577427894,1038
57.3825503355705,55.7617370512071,59.0033636199339,1039
57.3825503355705,55.7617370512071,59.0033636199339,1040
57.3825503355705,55.7617370512071,59.0033636199339,1041
57.3825503355705,55.7617370512071,59.0033636199339,1042
57.029926595144,55.3996613629459,58.6601918273421,1043
57.029926595144,55.3996613629459,58.6601918273421,1044
57.029926595144,55.3996613629459,58.6601918273421,1045
57.922488795149,56.3513834761504,59.4935941141476,1046
57.922488795149,56.3513834761504,59.4935941141476,1047
58.7547580206634,57.1638294634669,60.3456865778599,1048
58.7547580206634,57.1638294634669,60.3456865778599,1049
58.503937007874,56.9394152880564,60.0684587276916,1050
58.503937007874,56.9394152880564,60.0684587276916,1051
58.5820895522388,57.005955334131,60.1582237703466,1052
58.8607594936709,57.2945314626651,60.4269875246767,1053
58.8607594936709,57.2945314626651,60.4269875246767,1054
58.8607594936709,57.2945314626651,60.4269875246767,1055
59.3939393939394,57.7963643287528,60.991514459126,1056
59.320652173913,57.733516216111,60.907788131715,1057
59.320652173913,57.733516216111,60.907788131715,1058
58.7714116952156,57.1134026033906,60.4294207870406,1059
58.7583794812008,57.1112016153973,60.4055573470043,1060
58.7583794812008,57.1112016153973,60.4055573470043,1061
58.7583794812008,57.1112016153973,60.4055573470043,1062
58.5760517799353,56.920059523852,60.2320440360186,1063
58.354114713217,56.7457799774752,59.9624494489588,1064
58.354114713217,56.7457799774752,59.9624494489588,1065
58.354114713217,56.7457799774752,59.9624494489588,1066
58.6150041220115,57.0147722306831,60.21523601334,1067
55.7046979865772,53.9642139073987,57.4451820657557,1108
55.8646854252292,54.1342305169788,57.5951403334796,1109
56.4304461942257,54.6701372000038,58.1907551884476,1110
56.4304461942257,54.6701372000038,58.1907551884476,1111
56.4304461942257,54.6701372000038,58.1907551884476,1112
56.2801156440732,54.5376046635251,58.0226266246214,1113
56.0561540972902,54.2984924623788,57.8138157322016,1114
56.0561540972902,54.2984924623788,57.8138157322016,1115
54.6476306196841,52.9470241116338,56.3482371277344,1116
54.8448992644707,53.1006615219183,56.5891370070231,1117
54.8448992644707,53.1006615219183,56.5891370070231,1118
54.0106951871658,52.2248837403803,55.7965066339513,1119
54.0524070688605,52.3474332892824,55.7573808484386,1120
54.0524070688605,52.3474332892824,55.7573808484386,1121
54.384328358209,52.6629196621454,56.1057370542726,1122
55.154028436019,53.4763944717155,56.8316624003225,1123
55.154028436019,53.4763944717155,56.8316624003225,1124
54.6704154951578,52.9458793141158,56.3949516761998,1125
54.6704154951578,52.9458793141158,56.3949516761998,1126
55.2252252252252,53.5362960921109,56.9141543583396,1127
55.2252252252252,53.5362960921109,56.9141543583396,1128
55.1767281826713,53.4528502027399,56.9006061626027,1129
55.1767281826713,53.4528502027399,56.9006061626027,1130
55.1767281826713,53.4528502027399,56.9006061626027,1131
55.0672351590686,53.3016137504489,56.8328565676883,1132
55.0672351590686,53.3016137504489,56.8328565676883,1133
55.1347881899872,53.3884953113031,56.8810810686713,1134
55.1347881899872,53.3884953113031,56.8810810686713,1135
55.0112794070255,53.260889109523,56.761669704528,1136
55.0112794070255,53.260889109523,56.761669704528,1137
55.0112794070255,53.260889109523,56.761669704528,1138
54.4197031039136,52.6267222573137,56.2126839505135,1139
54.4197031039136,52.6267222573137,56.2126839505135,1140
55.979804354686,54.2514664933904,57.7081422159817,1141
55.979804354686,54.2514664933904,57.7081422159817,1142
56.0051380860629,54.2617113468329,57.7485648252929,1143
56.0051380860629,54.2617113468329,57.7485648252929,1144
56.0051380860629,54.2617113468329,57.7485648252929,1145
54.7327977645826,52.9095190245907,56.5560765045745,1146
54.7327977645826,52.9095190245907,56.5560765045745,1147
55.0660792951542,53.2713757468236,56.8607828434848,1148
55.0660792951542,53.2713757468236,56.8607828434848,1149
55.001755001755,53.1749679360565,56.8285420674535,1150
55.001755001755,53.1749679360565,56.8285420674535,1151
55.001755001755,53.1749679360565,56.8285420674535,1152
54.5745817016732,52.7333141622763,56.4158492410701,1153
54.5745817016732,52.7333141622763,56.4158492410701,1154
54.6722454672245,52.8503473969103,56.4941435375387,1155
54.6722454672245,52.8503473969103,56.4941435375387,1156
54.6841731724627,52.8462245128167,56.5221218321087,1157
54.6841731724627,52.8462245128167,56.5221218321087,1158
54.6841731724627,52.8462245128167,56.5221218321087,1159
54.6339704291381,52.7809938774038,56.4869469808724,1160
54.6339704291381,52.7809938774038,56.4869469808724,1161
55.699754472115,53.8763660645841,57.5231428796459,1162
