date,p_infected,p_infected_low,p_infected_high
2022/12/07,2.87,2.33,3.5
2022/12/08,3.08,2.43,3.84
2023/01/18,1.64,1.42,1.87
2023/01/19,1.59,1.37,1.82
2023/01/20,1.55,1.33,1.79
2023/01/21,1.53,1.31,1.77
2023/01/22,1.52,1.29,1.76
2023/01/23,1.52,1.28,1.77
2023/01/24,1.52,1.28,1.79
2023/01/25,1.54,1.28,1.81
2023/01/26,1.56,1.3,1.83
2023/01/27,1.59,1.32,1.86
2023/01/28,1.62,1.36,1.89
2023/01/29,1.66,1.4,1.93
2023/01/30,1.7,1.44,1.98
