date,p_infected,p_infected_low,p_infected_high,p_fatalities,p_fatalities_low,p_fatalities_high,p_hospital,p_hospital_low,p_hospital_high,p_recent,p_recent_low,p_recent_high,p_daily,p_daily_low,p_daily_high,p_active,p_active_low,p_active_high
2022/07/23,50.6567867969013,48.8584313895744,52.4551422042282,0.876858558902021,0.520077946076511,1.23363917172753,1.92455735180908,1.39626529006281,2.45284941355536,1.61670596160323,1.16305776182091,2.07035416138556,0.230957994514748,0.0582917699068121,0.403624219122683,2.22297069720445,1.69266257318699,2.7532788212219
2022/07/24,50.6567867969013,48.8584313895744,52.4551422042282,0.876858558902021,0.520077946076511,1.23363917172753,1.92455735180908,1.39626529006281,2.45284941355536,1.61670596160323,1.16305776182091,2.07035416138556,0.230957994514748,0.0582917699068121,0.403624219122683,2.22297069720445,1.69266257318699,2.7532788212219
2022/07/25,55.5997349237906,53.8271068819245,57.3723629656567,0.43557168784029,0.189665638239987,0.681477737440594,1.50735294117647,1.04945043538719,1.96525544696575,2.02120609675282,1.51914124614274,2.5232709473629,0.288743728107545,0.0973107097098829,0.480176746505207,2.06117021276596,1.55342766354756,2.56891276198436
2022/07/26,55.5997349237906,53.8271068819245,57.3723629656567,0.43557168784029,0.189665638239987,0.681477737440594,1.50735294117647,1.04945043538719,1.96525544696575,2.02120609675282,1.51914124614274,2.5232709473629,0.288743728107545,0.0973107097098829,0.480176746505207,2.06117021276596,1.55342766354756,2.56891276198436
2022/07/27,55.5997349237906,53.8271068819245,57.3723629656567,0.43557168784029,0.189665638239987,0.681477737440594,1.50735294117647,1.04945043538719,1.96525544696575,2.02120609675282,1.51914124614274,2.5232709473629,0.288743728107545,0.0973107097098829,0.480176746505207,2.06117021276596,1.55342766354756,2.56891276198436
2022/07/28,55.5997349237906,53.8271068819245,57.3723629656567,0.43557168784029,0.189665638239987,0.681477737440594,1.50735294117647,1.04945043538719,1.96525544696575,2.02120609675282,1.51914124614274,2.5232709473629,0.288743728107545,0.0973107097098829,0.480176746505207,2.06117021276596,1.55342766354756,2.56891276198436
2022/07/29,55.5997349237906,53.8271068819245,57.3723629656567,0.43557168784029,0.189665638239987,0.681477737440594,1.50735294117647,1.04945043538719,1.96525544696575,2.02120609675282,1.51914124614274,2.5232709473629,0.288743728107545,0.0973107097098829,0.480176746505207,2.06117021276596,1.55342766354756,2.56891276198436
2022/07/30,47.7543538038497,46.0431307311597,49.4655768765397,0.75187969924812,0.452203691588466,1.05155570690777,1.69172932330827,1.24434875533517,2.13910989128137,1.86373357775741,1.40041280836145,2.32705434715337,0.266247653965344,0.08970930413742,0.442786003793268,2.39778665846911,1.87208280282296,2.92349051411525
2022/07/31,47.7543538038497,46.0431307311597,49.4655768765397,0.75187969924812,0.452203691588466,1.05155570690777,1.69172932330827,1.24434875533517,2.13910989128137,1.86373357775741,1.40041280836145,2.32705434715337,0.266247653965344,0.08970930413742,0.442786003793268,2.39778665846911,1.87208280282296,2.92349051411525
2022/08/01,47.7543538038497,46.0431307311597,49.4655768765397,0.75187969924812,0.452203691588466,1.05155570690777,1.69172932330827,1.24434875533517,2.13910989128137,1.86373357775741,1.40041280836145,2.32705434715337,0.266247653965344,0.08970930413742,0.442786003793268,2.39778665846911,1.87208280282296,2.92349051411525
