date,p_infected,p_infected_low,p_infected_high
2023/01/21,1.22,1.01,1.44
2023/01/22,1.18,0.97,1.41
2023/01/23,1.15,0.94,1.38
2023/01/24,1.14,0.93,1.37
2023/01/25,1.13,0.92,1.36
2023/01/26,1.13,0.92,1.37
2023/01/27,1.14,0.93,1.38
2023/01/28,1.15,0.94,1.4
2023/01/29,1.18,0.96,1.42
2023/01/30,1.21,0.99,1.45
