date,p_cases,p_cases_low,p_cases_high
2022/07/27,53.7634408602151,50.708192247534,56.8186894728962
2022/07/28,53.7634408602151,50.708192247534,56.8186894728962
2022/07/29,53.7634408602151,50.708192247534,56.8186894728962
2022/07/30,50,47.2170381507061,52.7829618492939
2022/07/31,50,47.2170381507061,52.7829618492939
2022/08/01,50,47.2170381507061,52.7829618492939
2022/08/02,50,47.2170381507061,52.7829618492939
2022/08/03,50,47.2170381507061,52.7829618492939
2022/08/04,50,47.2170381507061,52.7829618492939
2022/08/05,50,47.2170381507061,52.7829618492939
2022/08/06,51.5105740181269,48.8185693123296,54.2025787239242
2022/08/07,51.5105740181269,48.8185693123296,54.2025787239242
2022/08/08,51.5105740181269,48.8185693123296,54.2025787239242
2022/08/09,51.5105740181269,48.8185693123296,54.2025787239242
2022/08/10,51.5105740181269,48.8185693123296,54.2025787239242
2022/08/11,49.8957609451008,47.3123900964177,52.4791317937838
2022/08/12,49.8957609451008,47.3123900964177,52.4791317937838
2022/08/13,49.8957609451008,47.3123900964177,52.4791317937838
2022/08/14,49.8957609451008,47.3123900964177,52.4791317937838
2022/08/15,50.0334001336005,47.5005639705335,52.5662362966675
2022/08/16,50.0334001336005,47.5005639705335,52.5662362966675
2022/08/17,50.0334001336005,47.5005639705335,52.5662362966675
2022/08/18,50.0334001336005,47.5005639705335,52.5662362966675
2022/08/19,49.7287522603978,47.3227916575178,52.1347128632778
2022/08/20,49.7287522603978,47.3227916575178,52.1347128632778
2022/08/21,49.7287522603978,47.3227916575178,52.1347128632778
2022/08/22,52.1249359959037,49.9094223947874,54.34044959702
2022/08/23,52.1249359959037,49.9094223947874,54.34044959702
2022/08/24,52.1249359959037,49.9094223947874,54.34044959702
2022/08/25,52.1249359959037,49.9094223947874,54.34044959702
2022/08/26,52.544080604534,50.3473594618633,54.7408017472047
2022/08/27,52.544080604534,50.3473594618633,54.7408017472047
2022/08/28,52.544080604534,50.3473594618633,54.7408017472047
2022/08/29,52.544080604534,50.3473594618633,54.7408017472047
2022/08/30,52.544080604534,50.3473594618633,54.7408017472047
2022/08/31,51.7778860204579,49.6164175912944,53.9393544496214
2022/09/01,51.7778860204579,49.6164175912944,53.9393544496214
2022/09/02,51.7778860204579,49.6164175912944,53.9393544496214
2022/09/03,51.7778860204579,49.6164175912944,53.9393544496214
2022/09/04,52.7482678983834,50.6453025880594,54.8512332087074
2022/09/05,52.7482678983834,50.6453025880594,54.8512332087074
2022/09/06,52.7482678983834,50.6453025880594,54.8512332087074
2022/09/07,53.4502923976608,51.5199340960734,55.3806506992482
2022/09/08,53.4502923976608,51.5199340960734,55.3806506992482
2022/09/09,53.4502923976608,51.5199340960734,55.3806506992482
2022/09/10,53.4502923976608,51.5199340960734,55.3806506992482
2022/09/11,53.4502923976608,51.5199340960734,55.3806506992482
2022/09/12,53.4502923976608,51.5199340960734,55.3806506992482
2022/09/13,53.4502923976608,51.5199340960734,55.3806506992482
2022/09/14,52.7890653860362,50.9084618486649,54.6696689234075
2022/09/15,52.7890653860362,50.9084618486649,54.6696689234075
2022/09/16,52.7890653860362,50.9084618486649,54.6696689234075
2022/09/17,52.7890653860362,50.9084618486649,54.6696689234075
2022/09/18,55.0819672131148,53.316688612973,56.8472458132566
2022/09/19,55.0819672131148,53.316688612973,56.8472458132566
2022/09/20,55.0819672131148,53.316688612973,56.8472458132566
2022/09/21,54.7361729179911,52.9968445437804,56.4755012922018
2022/09/22,54.7361729179911,52.9968445437804,56.4755012922018
2022/09/23,54.7361729179911,52.9968445437804,56.4755012922018
2022/09/24,54.7361729179911,52.9968445437804,56.4755012922018
2022/09/25,55.0800492610837,53.3694161405435,56.7906823816239
2022/09/26,55.0800492610837,53.3694161405435,56.7906823816239
2022/09/27,55.0800492610837,53.3694161405435,56.7906823816239
2022/09/28,55.0800492610837,53.3694161405435,56.7906823816239
2022/09/29,55.0800492610837,53.3694161405435,56.7906823816239
2022/09/30,55.0800492610837,53.3694161405435,56.7906823816239
2022/10/01,55.0800492610837,53.3694161405435,56.7906823816239
2022/10/02,54.4096103135072,52.7386951247992,56.0805255022152
2022/10/03,54.4096103135072,52.7386951247992,56.0805255022152
2022/10/04,54.4096103135072,52.7386951247992,56.0805255022152
2022/10/05,54.4096103135072,52.7386951247992,56.0805255022152
2022/10/06,54.0177294824135,52.3659059697689,55.6695529950581
2022/10/07,53.6888888888889,52.0066176851834,55.3711600925944
2022/10/08,53.6888888888889,52.0066176851834,55.3711600925944
2022/10/09,54.1176470588235,52.4830666981641,55.7522274194829
2022/10/10,53.6802760207016,52.0230808703347,55.3374711710685
2022/10/11,53.6802760207016,52.0230808703347,55.3374711710685
2022/10/12,53.2702477038686,51.6388547583245,54.9016406494127
2022/10/13,53.2702477038686,51.6388547583245,54.9016406494127
2022/10/14,52.0440707451435,50.376791751173,53.711349739114
2022/10/15,52.0440707451435,50.376791751173,53.711349739114
2022/10/16,52.3006573306659,50.6457034694448,53.955611191887
2022/10/17,52.3006573306659,50.6457034694448,53.955611191887
2022/10/18,52.6630760023938,50.9703058367286,54.355846168059
2022/10/19,52.5805531793556,50.9279407104638,54.2331656482474
2022/10/20,52.5805531793556,50.9279407104638,54.2331656482474
2022/10/21,53.3498077979132,51.7295979462472,54.9700176495792
2022/10/22,53.3498077979132,51.7295979462472,54.9700176495792
2022/10/23,53.1638574191766,51.5381117660452,54.789603072308
2022/10/24,52.8900949796472,51.2784379281251,54.5017520311693
2022/10/25,52.8900949796472,51.2784379281251,54.5017520311693
2022/10/26,53.8260869565217,52.1625468025674,55.489627110476
2022/10/27,54.3172413793103,52.695658692181,55.9388240664396
2022/10/28,54.3172413793103,52.695658692181,55.9388240664396
2022/10/29,54.5661450924609,52.9201184648472,56.2121717200746
2022/10/30,54.5661450924609,52.9201184648472,56.2121717200746
2022/10/31,54.748142031379,53.1296212038268,56.3666628589312
2022/11/01,54.748142031379,53.1296212038268,56.3666628589312
2022/11/02,55.310621242485,53.6618696609846,56.9593728239855
2022/11/03,55.3968689920352,53.782276107686,57.0114618763844
2022/11/04,55.3968689920352,53.782276107686,57.0114618763844
2022/11/05,55.3968689920352,53.782276107686,57.0114618763844
2022/11/06,55.3968689920352,53.782276107686,57.0114618763844
2022/11/07,56.9682862961885,55.3130148495876,58.6235577427894
2022/11/08,56.9682862961885,55.3130148495876,58.6235577427894
2022/11/09,56.9682862961885,55.3130148495876,58.6235577427894
2022/11/10,57.3825503355705,55.7617370512071,59.0033636199339
2022/11/11,57.3825503355705,55.7617370512071,59.0033636199339
2022/11/12,57.3825503355705,55.7617370512071,59.0033636199339
2022/11/13,57.3825503355705,55.7617370512071,59.0033636199339
2022/11/14,57.029926595144,55.3996613629459,58.6601918273421
2022/11/15,57.029926595144,55.3996613629459,58.6601918273421
2022/11/16,57.029926595144,55.3996613629459,58.6601918273421
2022/11/17,57.922488795149,56.3513834761504,59.4935941141476
2022/11/18,57.922488795149,56.3513834761504,59.4935941141476
