date,p_infected,p_infected_low,p_infected_high
2022/11/21,1.79,1.7,1.89
2022/11/22,1.83,1.74,1.93
2022/11/23,1.86,1.77,1.96
2022/11/24,1.9,1.81,2
2022/11/25,1.93,1.83,2.03
2022/11/26,1.95,1.86,2.06
2022/11/27,1.98,1.88,2.09
2022/11/28,2,1.89,2.11
2022/11/29,2.02,1.91,2.13
2022/11/30,2.04,1.93,2.15
2022/12/01,2.06,1.95,2.17
2022/12/02,2.08,1.98,2.19
2022/12/03,2.1,2,2.21
2022/12/04,2.13,2.03,2.23
2022/12/05,2.16,2.06,2.27
2022/12/06,2.2,2.08,2.32
2022/12/07,2.24,2.09,2.38
2022/12/08,2.28,2.11,2.45
2022/12/09,2.33,2.13,2.54
2023/01/18,1.5,1.43,1.58
2023/01/19,1.49,1.41,1.56
2023/01/20,1.48,1.4,1.55
2023/01/21,1.47,1.39,1.55
2023/01/22,1.47,1.4,1.55
2023/01/23,1.48,1.41,1.56
2023/01/24,1.5,1.43,1.58
2023/01/25,1.52,1.45,1.6
2023/01/26,1.55,1.48,1.63
2023/01/27,1.58,1.51,1.66
2023/01/28,1.62,1.54,1.7
2023/01/29,1.66,1.58,1.75
2023/01/30,1.71,1.62,1.79
