p_cases,p_cases_low,p_cases_high,days,week
0.742332020527509,0,2.19186557858465,301,43
0.75187969924812,0,2.21998631308919,308,44
0.775748896049648,0,2.29027570167439,315,45
0.793650793650794,0,2.34299274311329,322,46
56.2652597790143,55.0746690175818,57.4558505404468,1022,146
55.1447185352449,53.931380594313,56.3580564761768,1029,147
53.769118386778,52.5396966701697,54.9985401033863,1036,148
51.2377141665437,50.0163052802651,52.4591230528222,1043,149
51.8887523380333,50.6792878573811,53.0982168186855,1050,150
51.8596304038942,50.6590422457645,53.0602185620239,1057,151
51.2522948789142,50.0683565431305,52.4362332146979,1064,152
48.7477090984907,47.4713590392976,50.0240591576838,1106,158
47.5647434439878,46.2892762632898,48.8402106246858,1113,159
48.7602982755923,47.4422609232301,50.0783356279546,1120,160
51.044619995669,49.7328163968178,52.3564235945202,1127,161
52.3883233280771,51.0663879635013,53.710258692653,1134,162
53.2103327136506,51.8514294490231,54.5692359782781,1141,163
52.980782424551,51.6019274459299,54.3596374031721,1148,164
51.7325292975188,50.3268453074181,53.1382132876193,1155,165
51.3840906588079,49.9181460958123,52.8500352218035,1162,166
