p_cases,p_cases_low,p_cases_high,days,week
58.6253949143188,56.2882142809426,60.962575547695,1022,146
55.7594737655642,53.4123536707443,58.1065938603841,1029,147
56.3135762497143,53.9127859402374,58.7143665591911,1036,148
56.2135566770486,53.7855385360933,58.6415748180039,1043,149
56.8352144487348,54.4727983396711,59.1976305577985,1050,150
57.1049725789667,54.7674218125296,59.4425233454038,1057,151
58.0580588833058,55.7590436487431,60.3570741178685,1064,152
56.5470873940582,54.1635607948428,58.9306139932736,1106,158
56.220744233914,53.8494510886442,58.5920373791838,1113,159
56.7856719860937,54.2574062648365,59.313937707351,1120,160
60.0047036268883,57.6394061196897,62.3700011340868,1127,161
60.4879195037131,58.0880389830094,62.8878000244168,1134,162
59.4412153017912,57.0979514788964,61.784479124686,1141,163
58.7315925670793,56.2677279105178,61.1954572236407,1148,164
58.3513682369112,55.8168794446983,60.885857029124,1155,165
