p_infected,p_infected_low,p_infected_high,days,week
1.24,1.185,1.3,301,43
1.962,1.872,2.05,1029,147
1.60428571428571,1.51857142857143,1.68428571428571,1036,148
1.64142857142857,1.56,1.72571428571429,1043,149
1.89142857142857,1.79857142857143,1.99428571428571,1050,150
2.06142857142857,1.95571428571429,2.17,1057,151
2.242,2.094,2.392,1064,152
1.482,1.406,1.558,1106,158
1.55857142857143,1.48571428571429,1.64,1113,159
1.84285714285714,1.75428571428571,1.93428571428571,1120,160
2.14285714285714,2.04571428571429,2.24142857142857,1127,161
2.33857142857143,2.24,2.44428571428571,1134,162
2.37,2.27,2.47142857142857,1141,163
2.39,2.27142857142857,2.51571428571429,1148,164
2.61857142857143,2.38,2.87714285714286,1155,165
2.87,2.46,3.35,1162,166
